,price,minimum_nights,label
1089,54,3,1
1090,45,13,1
1091,199,1,1
1092,29,4,1
1093,60,3,1
1094,68,2,1
1095,38,60,1
1096,59,4,1
1097,130,1,1
1098,40,2,1
1099,38,70,1
1100,105,3,1
1101,50,365,1
1102,45,3,1
1103,75,1000,1
1104,33,5,1
1105,65,3,1
1106,102,3,1
1107,104,3,1
1108,104,3,1
1109,85,3,1
1110,23,1,1
1111,24,1,1
1112,29,3,1
1113,65,5,1
1114,75,7,1
1115,140,3,1
1116,76,2,1
1117,117,3,1
1118,60,2,1
1119,110,5,1
1120,73,2,1
1121,75,60,1
1122,65,4,1
1123,46,6,1
1124,27,90,1
1125,31,4,1
1126,280,3,1
1127,55,1,1
1128,52,3,1
1129,99,5,1
1130,38,1,1
1131,62,3,1
1132,40,3,1
1133,85,5,1
1134,76,1,1
1135,39,1,1
1136,57,7,1
1137,65,2,1
1138,50,3,1
1139,45,8,1
1140,107,2,1
1141,50,2,1
1142,62,60,1
1143,54,24,1
1144,158,6,1
1145,27,270,1
1146,50,2,1
1147,65,3,1
1148,49,3,1
1149,60,90,1
1150,42,10,1
1151,82,5,1
1152,25,90,1
1153,60,5,1
1154,63,3,1
1155,125,2,1
1156,38,3,1
1157,90,61,1
1158,59,2,1
1159,32,6,1
1160,80,6,1
1161,120,1,1
1162,45,2,1
1163,65,2,1
1164,35,2,1
1165,90,7,1
1166,80,21,1
1167,115,25,1
1168,48,2,1
1169,90,1,1
1170,79,5,1
1171,49,4,1
1172,130,3,1
1173,32,2,1
1174,52,3,1
1175,60,14,1
1176,34,2,1
1177,40,60,1
1178,50,3,1
1179,49,2,1
1180,50,2,1
1181,27,3,1
1182,137,2,1
1183,20,2,1
1184,85,7,1
1185,55,2,1
1186,65,59,1
1187,37,2,1
1188,100,3,1
1189,65,2,1
1190,130,5,1
1191,50,6,1
1192,62,1,1
1193,129,4,1
1194,59,1,1
1195,65,2,1
1196,38,3,1
1197,53,3,1
1198,78,6,1
1199,60,4,1
1200,55,5,1
1201,63,1,1
1202,80,2,1
1203,21,2,1
1204,40,1,1
1205,64,3,1
1206,50,30,1
1207,53,3,1
1208,40,3,1
1209,37,3,1
1210,120,2,1
1211,20,1,1
1212,70,90,1
1213,39,2,1
1214,30,1,1
1215,85,1,1
1216,40,3,1
1217,35,4,1
1218,70,7,1
1219,99,1,1
1220,75,3,1
1221,80,3,1
1222,80,5,1
1223,55,2,1
1224,75,3,1
1225,25,1,1
1226,45,4,1
1227,155,3,1
1228,50,3,1
1229,45,3,1
1230,45,5,1
1231,35,2,1
1232,50,2,1
1233,25,90,1
