,number_of_reviews,price,label
1605,0,55,1
1606,233,30,1
1607,61,59,1
1608,28,65,1
1609,44,97,1
1610,1,30,1
1611,26,50,1
1612,48,109,1
1613,167,79,1
1614,6,25,1
1615,85,23,1
1616,23,30,1
1617,61,70,1
1618,0,130,1
1619,0,60,1
1620,75,55,1
1621,0,70,1
1622,3,20,1
1623,140,76,1
1624,1,147,1
1625,45,40,1
1626,65,30,1
1627,3,25,1
1628,4,50,1
1629,4,50,1
1630,96,70,1
1631,4,150,1
1632,139,69,1
1633,7,35,1
1634,171,89,1
1635,52,50,1
1636,56,65,1
1637,0,80,1
1638,9,75,1
1639,103,30,1
1640,83,49,1
1641,0,59,1
1642,5,84,1
1643,73,35,1
1644,5,65,1
1645,41,55,1
1646,7,100,1
1647,9,25,1
1648,4,35,1
1649,0,18,1
1650,1,80,1
1651,1,8,1
1652,156,195,1
1653,109,65,1
1654,26,36,1
1655,2,35,1
1656,11,50,1
1657,5,110,1
1658,0,65,1
